도서명,작가,출판사,출판연도
"음악, 마음을 다스리다  :음악은 어떻게 인간을 완성시켰는가",윤용섭,글항아리,2014
7인의 십자가 사상  :십자가 그 자체로부터 넘치는 십자가로,차재승,Holy WavePlus(새물결플러스),2014
그리스도를 본받아  :충실한 영혼에게 말하는 그리스도의 다정한 대화,"켐피스, 토마스 아",이담Books,2014
가족희생양이 된 자녀의 심리와 상담,"필라리, 비말라",학지사,2008
